"filename", "language", "PHP", "JavaScript", "Markdown", "CSS", "XML", "JSON", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_195834_create_business_units_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_200635_create_functional_areas_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 10, 5, 37
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_205549_create_processes_table.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 10, 7, 43
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_205617_create_benefit_types_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_205702_create_process_benefits_table.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 10, 4, 32
"c:\xampp\htdocs\dpr\database\migrations\2021_03_16_205731_create_statuses_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\dpr\database\migrations\2021_03_18_092058_create_benefits_table.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 10, 4, 35
"c:\xampp\htdocs\dpr\database\seeders\BusinessUnitSeeder.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 6, 4, 21
"c:\xampp\htdocs\dpr\database\seeders\DatabaseSeeder.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 6, 5, 27
"c:\xampp\htdocs\dpr\database\seeders\FunctionalAreaSeeder.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 6, 4, 21
"c:\xampp\htdocs\dpr\database\seeders\ProcessSeeder.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 6, 4, 21
"c:\xampp\htdocs\dpr\database\seeders\RoleSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 7, 4, 28
"c:\xampp\htdocs\dpr\database\seeders\RoleUserSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 6, 6, 29
"c:\xampp\htdocs\dpr\database\seeders\StatusSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 6, 4, 27
"c:\xampp\htdocs\dpr\database\seeders\UserSeeder.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 6, 4, 21
"c:\xampp\htdocs\dpr\package.json", "JSON", 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\xampp\htdocs\dpr\phpunit.xml", "XML", 0, 0, 0, 0, 29, 0, 0, 2, 1, 32
"c:\xampp\htdocs\dpr\public\css\app.css", "CSS", 0, 0, 0, 43, 0, 0, 0, 0, 13, 56
"c:\xampp\htdocs\dpr\public\index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\xampp\htdocs\dpr\resources\css\app.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\dpr\resources\js\app.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\dpr\resources\js\bootstrap.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 18, 8, 29
"c:\xampp\htdocs\dpr\resources\lang\en\auth.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 10, 5, 21
"c:\xampp\htdocs\dpr\resources\lang\en\pagination.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\xampp\htdocs\dpr\resources\lang\en\passwords.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\dpr\resources\lang\en\validation.php", "PHP", 114, 0, 0, 0, 0, 0, 0, 30, 9, 153
"c:\xampp\htdocs\dpr\resources\views\admin\benefit-types\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\benefit-types\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\benefit-types\index.blade.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 2, 5, 54
"c:\xampp\htdocs\dpr\resources\views\admin\benefit-types\partials\form.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\xampp\htdocs\dpr\resources\views\admin\benefits\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\benefits\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\benefits\index.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 2, 5, 56
"c:\xampp\htdocs\dpr\resources\views\admin\benefits\partials\form.blade.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\xampp\htdocs\dpr\resources\views\admin\business-units\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\business-units\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\business-units\index.blade.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 2, 5, 54
"c:\xampp\htdocs\dpr\resources\views\admin\business-units\partials\form.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\xampp\htdocs\dpr\resources\views\admin\functional-areas\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\functional-areas\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\functional-areas\index.blade.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 2, 5, 56
"c:\xampp\htdocs\dpr\resources\views\admin\functional-areas\partials\form.blade.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\xampp\htdocs\dpr\resources\views\admin\processes\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\processes\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\processes\index.blade.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 2, 8, 65
"c:\xampp\htdocs\dpr\resources\views\admin\processes\partials\form.blade.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 9, 85
"c:\xampp\htdocs\dpr\resources\views\admin\statuses\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\admin\statuses\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\statuses\index.blade.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 2, 6, 53
"c:\xampp\htdocs\dpr\resources\views\admin\statuses\partials\form.blade.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\xampp\htdocs\dpr\resources\views\admin\users\create.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
